label,video,shift
Qinglian_20210407_I97-New Cut Road HH 3-4-21.xlsx,/data/MoveOver/Videos/I97-New Cut Road HH 3-4-21.mp4,
Binya_20210407_I-695 AT DULANEY VALLEY RD.xlsx,/data/MoveOver/Videos/Amir_20210126/I-695 AT DULANEY VALLEY RD.mp4,
Qinglian_20210414_I66_WBpast_I495Crash_02042021_1059.xlsx,/data/MoveOver/Videos/Videos_20210213/I-66 WB past I-495 - Crash - 02042021@1059  - VDOT CCTV.mp4,
Binya_20210414_I-695_AT_BALTIMORE_WASHINGTON_PKWY.xlsx,/data/MoveOver/Videos/Amir/2021-01-25 12.04.23/I-695 AT BALTIMORE WASHINGTON PKWY.mp4,-1
Binya_20210414_I-695_AT_DULANEY_VALLEYRD.xlsx,/data/MoveOver/Videos/Amir/2021-01-25 12.14.23/I-695 AT DULANEY VALLEY RD.mp4,
Qinglian_20210414_I-495_NBpastVA-620_Crash_02042021_1131_VDOT_CCTV.xlsx,/data/MoveOver/Videos/Videos_20210213/I-495 NB past VA-620 - Crash - 02042021@1131 - VDOT CCTV.mp4,
Amir_20210420_I-695 AT WILKENS AVE.xlsx,/data/MoveOver/Videos/tmp/I-695 AT WILKENS AVE.mp4,-3
Binya_20210420_I-695_AT_DULANEY_VALLEY_RD_new.xlsx,/data/MoveOver/Videos/Amir/2021-01-25 11.34.23/I-695 AT DULANEY VALLEY RD.mp4,
Binya_20210420_I-95-495_SB_Inner_Loop_Local_Lanes_at_VA-241-Disabled_Dump_Truck.xlsx,/data/MoveOver/Videos/Videos_20210213/I-95-495 SB Inner Loop Local Lanes at VA-241 - Disabled Dump Truck  - 02102021@1321 - VDOT CCTV.mp4,
Qinglian_20210420_I-95_SB_near_VA-241_Disabled_Dump_Truck_02102021.xlsx,/data/MoveOver/Videos/Videos_20210213/I-95 SB near VA-241 - Disabled Dump Truck - 02102021@1324 - VDOT CCTV 1.mp4,
Qinglian_20210420_MD-295_NB_at_I-695_Crash_ 02102021_1448_MDOT_SHA_CCTV.xlsx,/data/MoveOver/Videos/Videos_20210213/MD-295 NB at I-695 - Crash - 02102021@1448 - MDOT SHA CCTV.mp4,
Binya_20210427_I-495_NB beforeVA-267-DisabledVehicle-02112021.xlsx,/data/MoveOver/Videos/Videos_20210213/I-495 NB before VA-267 - Disabled Vehicle - 02112021 @1521 - VDOT CCTV.mp4,
Qinglian_20210427_D8_83-44-2021-03-08_FHWA_D.xlsx,/data/MoveOver/Videos/PA/D8_83-44-2021-03-08 FHWA_D.mov,
Qinglian_20210427_I-495_SB_InnerLoopGPLanes_before_US-50-Crash_02102021_1523_VDOT CCTV.xlsx,/data/MoveOver/Videos/Videos_20210213/I-495 SB Inner Loop GP Lanes before US-50 - Crash - 02102021@1523 - VDOT CCTV.mp4,
Amir_20210430_D8_81-52-2021-03-10 FHWA.xlsx,/data/MoveOver/Videos/PA/D8_81-52-2021-03-10 FHWA.mp4,-38

